place_name,latitude,longitude,address,rank
Tourist attraction,35.148859,126.9475398,"South Korea, Gwangju, Dong-gu, ??2? 681",20
Park,35.1580158,126.7361955,"Songsan-dong, Gwangsan-gu, Gwangju, South Korea",24
Park,35.1650978,126.7347649,"59 Songsan-dong, Gwangsan-gu, Gwangju, South Korea",25
Park,35.1686181,126.7602804,"Unsu-dong, Gwangsan-gu, Gwangju, South Korea",23
Museum,35.1737778,126.8011199,"27 Sanjeong-dong, Gwangsan-gu, Gwangju, South Korea",17
Historical place,35.1865406,126.7581094,"Deungim-dong, Gwangsan-gu, Gwangju, South Korea",16
Hiking area,35.1686641,126.7609302,"?292-1 Eoryong-dong, Gwangsan-gu, Gwangju, South Korea",22
Tourist attraction,35.1376305,126.8050228,"73-14 Songjeong-dong, Gwangsan-gu, Gwangju, South Korea",19
Park,35.1442058,126.7744384,"241-31 Eoryong-dong, Gwangsan-gu, Gwangju, South Korea",9
Tourist attraction,35.2059538,126.7431679,"Seobong-dong, Gwangsan-gu, Gwangju, South Korea",15
Tourist attraction,35.159821,126.7360068,"195 Songsan-dong, Gwangsan-gu, Gwangju, South Korea",1
Zoo,35.223688,126.891617,"677 Uchi-ro, Buk-gu, Gwangju, South Korea",14
Tourist attraction,35.1499041,126.9186016,"62-3 Chungjang-dong, Dong-gu, Gwangju, South Korea",16
Historical place,35.1209108,126.8338816,"South Korea, ",20
Tourist attraction,35.1599419,126.8914937,"12-16 Cheonbyeonjwa-ro, Seo-gu, Gwangju, South Korea",13
Tourist attraction,35.1478805,126.854802,"869-9 Ssangchon-dong, Seo-gu, Gwangju, South Korea",9
Tourist attraction,35.1492825,126.9239867,"Dongmyeong-dong, Dong-gu, Gwangju, South Korea",10
Park,35.1892635,126.8199368,"57 Jangsin-ro 82beon-gil, Gwangsan-gu, Gwangju, South Korea",6
Historical landmark,35.069667,126.836633,"129 Chilseok-dong, Nam-gu, Gwangju, South Korea",8
City park,35.1804421,126.8825756,"50 Haseo-ro,  Buk-gu, Gwangju, South Korea",7
National museum,35.1887107,126.8835323,"110 Haseo-ro, Buk-gu, Gwangju, South Korea",3
Observation deck,35.141854,126.9116793,"South Korea,  49 (??)",2
Tourist attraction,35.140536,126.9175563,"7 Cheonbyeonjwa-ro, 446 beon-gil, Nam-gu, Gwangju, South Korea",4
Historical place,35.0688059,126.8373548,"120 Chilseok-dong, Nam-gu, Gwangju, South Korea",5
Park,35.1625471,126.8058125,"South Korea, 1576-4?? 103 KR",50
Movie theater,35.1602243,126.8096501,"South Korea, Gwangju, Gwangsan-gu, Mujin-daero, 272-8 3?",49
Park,35.1611065,126.7936539,"80-11 Eoryong-dong, Gwangsan-gu, Gwangju, South Korea",48
Hiking area,35.1712429,126.812634,"South Korea, 561-9KR",46
Park,35.1643792,126.8360545,"808-16 Deokheung-dong, Seo-gu, Gwangju, South Korea",47
Movie theater,35.1628543,126.8119682,"15 Pungyeongcheolgil-ro, Gwangsan-gu, Gwangju, South Korea",45
Park,35.16981,126.8167627,"799-1 Unnam-dong, Gwangsan-gu, Gwangju, South Korea",44
Movie theater,35.2164698,126.8503424,"29-31 Imbangul-daero 826beon-gil, Gwangsan-gu, Gwangju, South Korea",48
Park,35.1827519,126.8285849,"870 Singa-dong, Gwangsan-gu, Gwangju, South Korea",43
Park,35.1660998,126.8283532,"Yuchon-dong, Seo-gu, Gwangju, South Korea",42
Movie theater,35.2212215,126.8523513,"35 Aemko-ro, Gwangsan-gu, Gwangju, South Korea",47
Campground,35.2363344,126.8592234,"South Korea,  970-40 KR",46
Park,35.2316456,126.8543697,"South Korea, Gwangju, Buk-gu, Daechon-dong, 957  KR 61006",45
Park,35.2131462,126.8364461,"South Korea, Gwangju, Gwangsan-gu, Wolgye-dong, 771-1?? 2?",44
Off roading area,35.2321682,126.8445309,"Oryong-dong, Buk-gu, Gwangju, South Korea",43
Park,35.2244174,126.8518812,"South Korea, Gwangju, Buk-gu, Oryong-dong, 1110 37?? 502?",42
Park,35.2205744,126.8586982,"877 Imbangul-daero, Buk-gu, Gwangju, South Korea",41
Park,35.1969474,126.8415856,"South Korea,  1147-6 KR",39
Park,35.1939274,126.8352508,"1263  Gwangsan-gu, Gwangju, South Korea",40
Park,35.1896273,126.8634405,"South Korea, Gwangju, Buk-gu, ???",38
National park,35.2089939,126.841554,"South Korea, Gwangju, Gwangsan-gu, Wolgye-dong, ?? ?? 851-14 1?",37
Park,35.19332,126.8381399,"1231  Gwangsan-gu, Gwangju, South Korea",36
Park,35.1845882,126.8258021,"Sudeung-ro, Gwangsan-gu, Gwangju, South Korea",35
Park,35.2101225,126.840351,"535-2 Wolgye-dong, Gwangsan-gu, Gwangju, South Korea",34
Park,35.2031096,126.8726137,"288-13 ??? Buk-gu, Gwangju, South Korea",32
Park,35.1867184,126.8259858,"Suwan-dong, Gwangsan-gu, Gwangju, South Korea",33
Park,35.1846862,126.8321188,"963-5 Singa-dong, Gwangsan-gu, Gwangju, South Korea",31
Park,35.1954475,126.829476,"452-63 Suwan-dong, Gwangsan-gu, Gwangju, South Korea",30
Park,35.1983739,126.8390458," Gwangsan-gu, Gwangju, South Korea",29
Bridge,35.1889309,126.8590997,"Sinchang-dong, Gwangsan-gu, Gwangju, South Korea",28
Historical place,35.1967908,126.8457397,"632-4 ??? Gwangsan-gu, Gwangju, South Korea",27
Historical landmark,35.1948744,126.8489061,"512-1 Sinchang-dong, Gwangsan-gu, Gwangju, South Korea",26
Historical place,35.2013455,126.8256859,"870-1 Suwan-dong, Gwangsan-gu, Gwangju, South Korea",25
Park,35.1688559,126.7996236,"116 Sanjeong-dong, Gwangsan-gu, Gwangju, South Korea",39
Park,35.1712934,126.8189095,"Gwangju, South Korea",40
Park,35.2030888,126.8725131,"Yangsanje-ro, ??? Buk-gu, Gwangju, South Korea",24
Park,35.2148309,126.8581059,"368 Sinyong-dong, Buk-gu, Gwangju, South Korea",40
Park,35.1774598,126.8442959,"Gwangju, South Korea",38
Hiking area,35.163913,126.789641,"?98-107 Sochon-dong, Gwangsan-gu, Gwangju, South Korea",37
Park,35.2207486,126.8437123,"6?? 663 Ssangam-dong, Gwangsan-gu, Gwangju, South Korea",39
Park,35.1569139,126.8438999,"142 Sangmugongwon-ro, Seo-gu, Gwangju, South Korea",35
Park,35.222211,126.8443276,"653-1 Ssangam-dong, Gwangsan-gu, Gwangju, South Korea",38
Botanical garden,35.1564881,126.8170246,"South Korea, ?? A ? KR ????? ??? ??? 204-10 13?",33
Park,35.1564881,126.8170246,"Gwangju, South Korea",34
Park,35.1671549,126.8144934,"Wolgok-dong, Gwangsan-gu, Gwangju, South Korea",36
Park,35.2141159,126.8431057,"889-3  Gwangsan-gu, Gwangju, South Korea",35
Park,35.1711179,126.8167104,"156 Mongnyeon-ro, Gwangsan-gu, Gwangju, South Korea",32
Park,35.2343237,126.8673227,"190 Chuam-ro, Buk-gu, Gwangju, South Korea",36
Park,35.1563889,126.8033333,"Usan-dong, Gwangju, South Korea",31
