mall_name,latitude,longitude
"1572-2 ??? Gwangsan-gu, Gwangju, South Korea",35.165835,126.8065272
"South Korea, ??? 628-1?? ??2? ?? 2? 201? ??? ????? KR",35.2201561,126.8187552
"14-1 Wolgok-ro, Gwangsan-gu, Gwangju, South Korea",35.1688021,126.8107079
"114 Uchi-ro, Buk-gu, Gwangju, South Korea",35.177605,126.9124049
"3 Hyosan-ro, ??? Buk-gu, Gwangju, South Korea",35.1808576,126.9123208
"South Korea, ??? 160-4?? 1? ?? ????? KR",35.1761897,126.9129582
"South Korea, Gwangju, Buk-gu, Yongbong-dong, ?? 1? 693-6",35.1723949,126.897213
"160-22 Yongbong-dong, Buk-gu, Gwangju, South Korea",35.1755445,126.9127617
"410 Mudeung-ro, Dong-gu, Gwangju, South Korea",35.1591206,126.9269623
"64-1, Yongju-ro 30beon-gil, Buk-gu, Gwangju, South Korea",35.1806604,126.9043484
"518-1 Gyerim-dong, Dong-gu, Gwangju, South Korea",35.1601854,126.9267607
"South Korea, ??? 916-4?? 1? ?? ????? KR",35.1713884,126.9364647
"Gwangju, South Korea",35.1681064,126.9335237
"South Korea, ??? 9-13?? ?? ????? KR",35.1622791,126.9064028
"South Korea, Gwangju, Buk-gu, Gakhwa-dong, 529?? ????",35.1794559,126.9338027
"286-5 ??3? Buk-gu, Gwangju, South Korea",35.1729379,126.9163762
"1412-4 ??? Buk-gu, Gwangju, South Korea",35.1748776,126.8957077
"699-2 Jungheung-dong, Buk-gu, Gwangju, South Korea",35.164324,126.909984
"1033 103 Daedeok-gu, Daejeon, South Korea",35.1831737,126.9223567
"South Korea, ??? 853-6?? ?? ????? KR",35.1809385,126.8925963
"1238-28 ??? Buk-gu, Gwangju, South Korea",35.1792383,126.901096
"553-5 ??? Buk-gu, Gwangju, South Korea",35.1771856,126.9020523
"94 Biennale-ro, Buk-gu, Gwangju, South Korea",35.1796865,126.8911212
"172 Seoam-daero, Sinan-dong, Buk-gu, Gwangju, South Korea",35.168722,126.9029034
"642-12 Jungheung-dong, Buk-gu, Gwangju, South Korea",35.1627961,126.9156228
"6-1 Sinan-dong, Buk-gu, Gwangju, South Korea",35.1617405,126.9073458
"South Korea, Gwangju, Dong-gu, Gyerim-dong, ?? 1? 521-5 1?",35.1583607,126.9261392
"592-1 ??? Buk-gu, Gwangju, South Korea",35.1807722,126.9198416
"Gwangju, South Korea",35.1763211,126.91294
"308-16 ??3? Buk-gu, Gwangju, South Korea",35.1656472,126.9325351
"South Korea, Gwangju, Buk-gu, Duam-dong, 833-25 1?",35.1747862,126.9129615
"1?? 268 Jungheung-dong, Buk-gu, Gwangju, South Korea",35.1738732,126.9167929
"1255-15 ??? Buk-gu, Gwangju, South Korea",35.1775699,126.8982968
"South Korea, ??? 153-8?? ?? ????? KR",35.1630009,126.9008961
"Gwangju, South Korea",35.1614979,126.9067042
"Sinan-dong, Buk-gu, Gwangju, South Korea",35.164018,126.9075958
"559-3 ??? Buk-gu, Gwangju, South Korea",35.1647125,126.9179559
"153-1 Yongbong-dong, Buk-gu, Gwangju, South Korea",35.1772943,126.9136504
"1371-1 ??? Buk-gu, Gwangju, South Korea",35.1799048,126.8978185
"Sinan-dong, Buk-gu, Gwangju, South Korea",35.1652218,126.9028739
"1409-4 ??? Buk-gu, Gwangju, South Korea",35.1754331,126.8960132
"Gwangju, South Korea",35.1671306,126.9352032
"554-10 ??? Buk-gu, Gwangju, South Korea",35.166018,126.9193724
"716-26 Jungheung-dong, Buk-gu, Gwangju, South Korea",35.1585676,126.9099641
"South Korea, ??? 1401-5?? 3? ?? ????? KR",35.1773344,126.8959178
"152-10 Yongbong-dong, Buk-gu, Gwangju, South Korea",35.1766966,126.9132166
"South Korea, ??? 152-17?? 1? ?? ????? KR",35.1765006,126.9129585
"269 Gyeongyeol-ro, Buk-gu, Gwangju, South Korea",35.1631331,126.9077506
"South Korea, ??? 920?? ?? ???? ? ?? ????? KR",35.1808902,126.9245497
